Dataset,Modeltype,Time,AUC,ACC,Device,CAT,SEED,Cat seed,EPOCH
PNEUMONIA,4X4,,0.894773,0.8558,,PNEUMONIA4X4,2,PNEUMONIA4X41,25
PNEUMONIA,4X4,,0.910004,0.859,,PNEUMONIA4X4,1,PNEUMONIA4X43,31
PNEUMONIA,4X4,,0.907638,0.8606,,PNEUMONIA4X4,3,PNEUMONIA4X42,43
PNEUMONIA,4X4,,0.906432,0.851,,PNEUMONIA4X4,4,PNEUMONIA4X44,38
PNEUMONIA,4X4,,0.907692,0.8542,,PNEUMONIA4X4,5,PNEUMONIA4X46,36
PNEUMONIA,4X4,,0.913412,0.8662,,PNEUMONIA4X4,6,PNEUMONIA4X45,31
PNEUMONIA,4X4,,0.899189,0.8542,,PNEUMONIA4X4,7,PNEUMONIA4X47,47
PNEUMONIA,4X4,,0.900657,0.8606,,PNEUMONIA4X4,8,PNEUMONIA4X48,26
PNEUMONIA,4X4,,0.893458,0.8462,,PNEUMONIA4X4,9,PNEUMONIA4X49,38
PNEUMONIA,4X4,,0.901051,0.867,,PNEUMONIA4X4,10,PNEUMONIA4X410,29
PNEUMONIA,BASECASE,4509,0.901928,0.8622,TITAN X,PNEUMONIABASECASE,3,PNEUMONIABASECASE3,29
PNEUMONIA,BASECASE,4553,0.902202,0.8558,TITAN X,PNEUMONIABASECASE,2,PNEUMONIABASECASE2,25
PNEUMONIA,BASECASE,4645,0.917225,0.8654,TITAN X,PNEUMONIABASECASE,1,PNEUMONIABASECASE1,31
PNEUMONIA,BASECASE,4603,0.907527,0.8478,TITAN X,PNEUMONIABASECASE,4,PNEUMONIABASECASE4,48
PNEUMONIA,BASECASE,4648,0.913784,0.8606,TITAN X,PNEUMONIABASECASE,5,PNEUMONIABASECASE5,33
PNEUMONIA,BASECASE,4753,0.905289,0.8638,TITAN X,PNEUMONIABASECASE,6,PNEUMONIABASECASE6,48
PNEUMONIA,BASECASE,4475,0.904317,0.8606,TITAN X,PNEUMONIABASECASE,7,PNEUMONIABASECASE7,29
PNEUMONIA,BASECASE,4512,0.892099,0.892,TITAN X,PNEUMONIABASECASE,8,PNEUMONIABASECASE8,38
PNEUMONIA,BASECASE,4646,0.902925,0.8622,TITAN X,PNEUMONIABASECASE,9,PNEUMONIABASECASE9,37
PNEUMONIA,BASECASE,4648,0.905763,0.8462,TITAN X,PNEUMONIABASECASE,10,PNEUMONIABASECASE10,45
PNEUMONIA,PATCH,3260,0.906848,0.8462,XP,PNEUMONIAPATCH,1,PNEUMONIAPATCH1,31
PNEUMONIA,PATCH,3335,0.900153,0.8462,PASCAL,PNEUMONIAPATCH,2,PNEUMONIAPATCH2,35
PNEUMONIA,PATCH,3400,0.904569,0.8478,PASCAL,PNEUMONIAPATCH,3,PNEUMONIAPATCH3,46
PNEUMONIA,PATCH,3953,0.899759,0.8478,PASCAL,PNEUMONIAPATCH,4,PNEUMONIAPATCH4,38
PNEUMONIA,PATCH,3955,0.908985,0.8494,PASCAL,PNEUMONIAPATCH,5,PNEUMONIAPATCH5,24
PNEUMONIA,PATCH,3998,0.902564,0.8189,PASCAL,PNEUMONIAPATCH,6,PNEUMONIAPATCH6,45
PNEUMONIA,PATCH,3493,0.90275,0.8446,XP,PNEUMONIAPATCH,7,PNEUMONIAPATCH7,47
PNEUMONIA,PATCH,3952,0.900701,0.8446,PASCAL,PNEUMONIAPATCH,8,PNEUMONIAPATCH8,35
PNEUMONIA,PATCH,4002,0.903451,0.84413,PASCAL,PNEUMONIAPATCH,9,PNEUMONIAPATCH9,38
PNEUMONIA,PATCH,3414,0.903572,0.8446,XP,PNEUMONIAPATCH,10,PNEUMONIAPATCH10,47
MELANOMA,4X4,,0.802344,0.6764,,MELANOMA4X4,1,MELANOMA4X43,70
MELANOMA,4X4,,0.798331,0.6326,,MELANOMA4X4,2,MELANOMA4X42,98
MELANOMA,4X4,,0.803007,0.6601,,MELANOMA4X4,4,MELANOMA4X41,58
MELANOMA,4X4,,0.792875,0.6592,,MELANOMA4X4,3,MELANOMA4X45,79
MELANOMA,4X4,,0.796814,0.6459,,MELANOMA4X4,5,MELANOMA4X44,82
MELANOMA,4X4,,0.802901,0.671,,MELANOMA4X4,6,MELANOMA4X46,38
MELANOMA,4X4,,0.794169,0.6293,,MELANOMA4X4,7,MELANOMA4X48,95
MELANOMA,4X4,,0.796984,0.6701,,MELANOMA4X4,8,MELANOMA4X47,38
MELANOMA,4X4,,0.794444,0.6514,,MELANOMA4X4,9,MELANOMA4X410,15
MELANOMA,4X4,,0.805387,0.6707,,MELANOMA4X4,10,MELANOMA4X49,92
MELANOMA,BASECASE,4772,0.809952,0.6381,TITANX,MELANOMABASECASE,2,MELANOMABASECASE2,30
MELANOMA,BASECASE,4805,0.797328,0.6613,TITANX,MELANOMABASECASE,3,MELANOMABASECASE3,32
MELANOMA,BASECASE,7054,0.797371,0.655,TITANX,MELANOMABASECASE,1,MELANOMABASECASE1,20
MELANOMA,BASECASE,4760,0.795006,0.6399,TITANX,MELANOMABASECASE,4,MELANOMABASECASE4,80
MELANOMA,BASECASE,4769,0.796793,0.6474,TITANX,MELANOMABASECASE,5,MELANOMABASECASE5,49
MELANOMA,BASECASE,7084,0.79622,0.6864,TITANX,MELANOMABASECASE,6,MELANOMABASECASE6,66
MELANOMA,BASECASE,4741,0.795611,0.6326,TITANX,MELANOMABASECASE,7,MELANOMABASECASE7,54
MELANOMA,BASECASE,4771,0.796904,0.6456,TITANX,MELANOMABASECASE,8,MELANOMABASECASE8,42
MELANOMA,BASECASE,4622,0.796782,0.6483,TITANX,MELANOMABASECASE,10,MELANOMABASECASE10,25
MELANOMA,BASECASE,7049,0.794041,0.645,TITANX,MELANOMABASECASE,9,MELANOMABASECASE9,90
MELANOMA,PATCH,4849,0.799587,0.655,TITANX,MELANOMAPATCH,2,MELANOMAPATCH2,60
MELANOMA,PATCH,4848,0.805573,0.6764,TITANX,MELANOMAPATCH,1,MELANOMAPATCH1,70
MELANOMA,PATCH,5285,0.790129,0.6689,XP,MELANOMAPATCH,3,MELANOMAPATCH3,8
MELANOMA,PATCH,4781,0.800361,0.6734,TITANX,MELANOMAPATCH,4,MELANOMAPATCH4,58
MELANOMA,PATCH,4814,0.79358,0.6686,TITANX,MELANOMAPATCH,5,MELANOMAPATCH5,20
MELANOMA,PATCH,5372,0.797122,0.6761,XP,MELANOMAPATCH,6,MELANOMAPATCH6,38
MELANOMA,PATCH,4837,0.794609,0.636,TITANX,MELANOMAPATCH,7,MELANOMAPATCH7,39
MELANOMA,PATCH,4837,0.79876,0.6873,TITANX,MELANOMAPATCH,8,MELANOMAPATCH8,19
MELANOMA,PATCH,5560,0.797747,0.6622,TITANX,MELANOMAPATCH,9,MELANOMAPATCH9,15
MELANOMA,PATCH,4798,0.799529,0.6523,TITANX,MELANOMAPATCH,10,MELANOMAPATCH10,31
